id,cn,en,jp,tw
confirm,确认,OK,確認,確認
common_service,客服,Service,コール,客服
cancel,取消,Cancel,ロック,取消
test_key,测试内容,test content,テスト,測試內容
download_content,将下载游戏执行的必要档案({0:0.00}MB)。是否继续？,Necessary files ({0:0.00}MB) for running the game will be downloaded. Continue?,ゲームの実行に必要なファイル({0:0.00}MB)をダウンロードします。続行しますか？,將下載遊戲執行的必要檔案({0:0.00}MB)。是否繼續？
download_tip,建议在 Wi-Fi环境下进行下载。,It is recommended to download under Wi-Fi environment.,ダウンロードはWi-Fi環境で行うことをお勧めします。,建議在 Wi-Fi 環境下進行下載。
downloading,下载中,Downloading,ダウンロード中,下載中
error_occured,出错了，请重试,"some error occured, please try agian",エラーが発生しました、再度実行してください,出錯了，請重試
loading,载入中...,Loading...,ロード中…,載入中...
justloading,载入中...,Loading...,ロード中…,載入中...
open_discord,欢迎大家加入到官方Discord频道获取最新游戏资讯并参与福利领取。,Join our official Discord to get the latest news and exclusive reward codes!,公式Discordに参加して、最新ニュースや限定特典コードをゲットしましょう！,歡迎大家加入到官方Discord頻道獲取最新遊戲資訊並參與福利領取。
maintain,维护中,In Maintenance,メンテナンス中,維護中
refresh,刷新,Refresh,リフレッシュ,刷新
quit,离开,Quit,終了,離開
skip,跳过,Skip,スキップ,略過
update_notice,更新公告,Update Notice,更新のお知らせ,更新公告
countdown,倒计时,Countdown,カウントダウン,倒計時
not_update,下次更新,Skip,次回の更新,下次更新
to_update,更新,Update,更新,更新
notice,公告,Notice,お知らせ,公告
ok,确定,OK,確認,確定
update,更新,Update,更新,更新
game_left_time,剩余时间,Remaining,"ざんりゅうじかん	剩餘時間",
game_target,营收目标(金币),Revenue Target,収益目標,營收目標(金幣)
game_bad,库存,Storage,ストック,庫存
game_info,通过连线选择<color=#FF6E6E>3-5</color>个顾客想要的零件,Link <color=#FF6E6E>3-5</color>  Components to fulfill the customers' orders.,お客さんのオーダー通りに<color=#FF6E6E>3-5</color>魔械部品をつなげよう,通過連線選擇<color=#FF6E6E>3-5</color>個顧客想要的零件
game_customerA,顾客A,Customer A,顧客A,顧客A
game_customerB,顾客B,Customer B,顧客B,顧客B
game_title_result,胜利,Victory,勝利,勝利
game_resultevaluate,通关评价,Evaluation,通関評価,通關評價
game_resulttime,通关时长,Time,通関時間,通關時長
game_title_pass_info,通关信息,Information,通関情報,通關信息
game_title_reward,奖励信息,Reward,ボーナス,獎勵資訊
no_reward,本次更新没有额外奖励,There are no additional rewards for this update.,このアップデートによる追加報酬はありません。,本次更新沒有額外獎勵
tips_rewards,下载完成后，可得到以下奖励,"Once the download is complete, you can get the following rewards",ダウンロード完了後、以下のボーナスをプレゼントします。,下載完成後，可得到以下獎勵
game_words_replay,再来一次,Try Again,もう一度,再來一次
game_words_play_again,还想再玩,Play Again,もう一度,還想再玩
